,기업명,주소,업종분류,설립연도,기업홈페이지URL
0,푸드테크,서울특별시 서초구,커피 가공업,2015,brownbagcoffee.co.kr/
0,스카이랩스,경기도 성남시 분당구,그 외 기타 전자 부품 제조업,2020,
0,니어브레인,서울특별시 영등포구,그 외 기타 금융업,2021,
0,온블록,경기도 성남시 분당구,그 외 기타 의료용 기기 제조업,2015,
0,애딥랩,서울특별시 강남구,일반 영화 및 비디오물 제작업,2003,
0,지니언스,서울특별시 강남구,"기타 전문, 과학 및 기술 서비스업",2018,
0,파더스랩,경기도 안양시 동안구,시스템 소프트웨어 개발 및 공급업,2005,www.genians.co.kr/
0,씨드로닉스,경기도 안양시 동안구,시스템 소프트웨어 개발 및 공급업,2005,
0,에이지엘,경기도 성남시 분당구,그 외 기타 전자 부품 제조업,2020,
0,아이브,서울특별시 영등포구,시스템 소프트웨어 개발 및 공급업,1997,www.somansa.com
0,바텍,서울특별시 강서구,"화물 운송 중개, 대리 및 관련 서비스업",2003,www.agl.co.kr
0,백금티앤에이,서울특별시 강남구,주거용 부동산 관리업,2022,
0,가온브로드밴드,경상북도 구미시,기타 전자 부품 제조업,1992,www.khvatec.com
0,씨드로닉스,경기도 군포시,방송 및 무선 통신장비 제조업,1996,www.bgtna.com
0,에임비랩,경기도 성남시 분당구,그 외 기타 전자 부품 제조업,2020,
0,네이션에이,서울특별시 서초구,광고 대행업,2009,www.stclab.com/
0,지니언스,서울특별시 강남구,시스템 소프트웨어 개발 및 공급업,2005,www.genians.co.kr/
0,디웨이브,경기도 안양시 동안구,시스템 소프트웨어 개발 및 공급업,2005,www.genians.co.kr/
0,리걸테크,서울특별시 서초구,컴퓨터시설 관리업,2020,
0,스매치코퍼레이션,서울특별시 서초구,음악 및 기타 오디오물 출판업,2019,
0,에임,경기도 군포시,방송 및 무선 통신장비 제조업,1996,www.bgtna.com
0,슈퍼진,서울특별시 서초구,시스템 소프트웨어 개발 및 공급업,2016,
0,에이블제이,서울특별시 영등포구,기타 금융업,2013,
0,앤트,경기도 용인시 기흥구,상품 종합 중개업,2018,
0,아데나소프트웨어,서울특별시 강남구,컴퓨터 프로그래밍 서비스업,2016,www.adenasoft.com
0,큐픽스,경기도 안양시 동안구,건물설비 설치 공사업,1996,www.cnt85.com
0,에드워드코리아,충청남도 천안시 서북구,기체 펌프 및 압축기 제조업,1992,
0,퓨리오사에이아이,서울특별시 강남구,시스템 소프트웨어 개발 및 공급업,2017,
0,크라우드웍스,서울특별시 강남구,소프트웨어 개발 및 공급업,2017,www.crowdworks.kr
0,구름,서울특별시 금천구,컴퓨터 시스템 통합 자문 및 구축 서비스업,2013,goorm.co
0,디어유,서울특별시 성동구,응용 소프트웨어 개발 및 공급업,2017,www.dear-u.co
0,큐이디,서울특별시 서초구,운동 및 경기용품 도매업,2019,
0,한화비전,경기도 성남시 분당구,방송장비 제조업,2018,www.hanwhavision.com
0,웨이커,서울특별시 영등포구,온라인 교육학원,2012,
0,씽크프리,서울특별시 마포구,시스템 소프트웨어 개발 및 공급업,1998,www.thinkfree.com
0,갤럭시아머니트리,서울시 강남구,시스템 소프트웨어 개발 및 공급업,1994,www.galaxiamoneytree.co.kr
0,하이브,서울특별시 서초구,숙박업,1999,www.riversidehotel.co.kr
0,쿠캣,서울특별시 강남구,전자상거래 소매업,2014,
0,소프트닉스,서울특별시 강남구,전자상거래 소매업,2014,
0,두나무업비트/증권플러스,서울특별시 강남구,컴퓨터 시스템 통합 자문 및 구축 서비스업,2009,www.inspien.co.kr
0,에바,경기도 시흥시,"전동기, 발전기 및 전기 변환장치 제조업",1998,
0,브라운백,서울특별시 서초구,커피 가공업,2015,brownbagcoffee.co.kr/
0,이터널,서울특별시 영등포구,기타 금융업,2023,
0,피나클,충청남도 아산시,자연공원 운영업,2021,
0,뱅크샐러드,서울특별시 서초구,시스템 소프트웨어 개발 및 공급업,2016,
0,라이드,경기도 시흥시,자동차 엔진용 신품 부품 제조업,1989,www.garrettmotion.com
0,에임,서울특별시 강남구,시스템 소프트웨어 개발 및 공급업,1998,www.bsgglobal.com
0,번개장터,서울특별시 서초구,응용 소프트웨어 개발 및 공급업,2011,m.bunjang.co.kr
0,뱅크샐러드,서울특별시 서초구,기타 기술 및 직업 훈련학원,2012,https://career.banksalad.com/
0,큐이디,경기도 성남시 분당구,그 외 기타 전자 부품 제조업,2019,
0,바텍,경기도 성남시 분당구,그 외 기타 전자 부품 제조업,2019,www.davolink.co.kr
0,위메이드,경기도 성남시 분당구,게임 소프트웨어 개발 및 공급업,2000,wemade.com
0,플래티어,서울특별시 송파구,응용 소프트웨어 개발 및 공급업,2005,www.plateer.com/
0,베이글코드,서울특별시 강남구,유선 온라인 게임 소프트웨어 개발 및 공급업,2012,
0,트리노드,부산광역시 해운대구,게임 소프트웨어 개발 및 공급업,2011,treenod.com/
