,기업명,업종분류,사원수,설립연도,매출액
0,쉬모스랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,8명,7년 (2017년 설립),-원
0,마켓디자이너스,경영 컨설팅 및 공공 관계 서비스업,,7년 (2017년 설립),"105억3,971만원"
0,데이오프컴퍼니,시스템ㆍ응용 소프트웨어 개발 및 공급업,9명,2년 (2022년 설립),-원
0,브로즈,외국식 음식점업,,4년 (2020년 설립),-원
0,모요,시스템ㆍ응용 소프트웨어 개발 및 공급업,37명,3년 (2021년 설립),-원
0,토스플레이스,"컴퓨터 및 주변장치, 소프트웨어 및 통신기기 소매업",81명,2년 (2022년 설립),-원
0,룩코,시스템ㆍ응용 소프트웨어 개발 및 공급업,26명,4년 (2020년 설립),"2,700만원"
0,펄송,시스템ㆍ응용 소프트웨어 개발 및 공급업,,7년 (2017년 설립),17억705만원
0,포스타입,시스템ㆍ응용 소프트웨어 개발 및 공급업,28명,8년 (2016년 설립),"25억2,614만원"
0,딥바이오,시스템ㆍ응용 소프트웨어 개발 및 공급업,35명,8년 (2016년 설립),"2억5,570만원"
0,레벨스,기타 간이 음식점업,,3년 (2021년 설립),-원
0,버즈빌,광고 대행업,112명,11년 (2013년 설립),"596억7,272만원"
0,와들,시스템ㆍ응용 소프트웨어 개발 및 공급업,,5년 (2019년 설립),-원
0,온블록,시스템ㆍ응용 소프트웨어 개발 및 공급업,6명,2년 (2022년 설립),-원
0,이큐브랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,48명,13년 (2011년 설립),"16억3,146만원"
0,카카오스타일,시스템ㆍ응용 소프트웨어 개발 및 공급업,570명,12년 (2012년 설립),"652억2,341만원"
0,월급쟁이부자들,그 외 기타 교육기관,51명,6년 (2018년 설립),"239억9,000만원"
0,플레져,광고 대행업,10명,6년 (2018년 설립),"11억6,356만원"
0,딥바이오,시스템ㆍ응용 소프트웨어 개발 및 공급업,35명,8년 (2016년 설립),"2억5,570만원"
0,세이프에이아이,시스템ㆍ응용 소프트웨어 개발 및 공급업,3명,1년 (2023년 설립),-원
0,디어유,시스템ㆍ응용 소프트웨어 개발 및 공급업,정보없음,7년 (2017년 설립),400억76만원
0,얼리페이,시스템ㆍ응용 소프트웨어 개발 및 공급업,12명,3년 (2021년 설립),133만원
0,프렉스코리아,"가전제품, 통신장비 및 부품 도매업",,5년 (2019년 설립),-원
0,지엔에이컴퍼니,통신 판매업,9명,7년 (2017년 설립),"10억9,116만원"
0,벨루가브루어리,시스템ㆍ응용 소프트웨어 개발 및 공급업,9명,6년 (2018년 설립),"4억2,659만원"
0,토스플레이스,"컴퓨터 및 주변장치, 소프트웨어 및 통신기기 소매업",81명,2년 (2022년 설립),-원
0,피클플러스,컴퓨터 프로그래밍 서비스업,25명,4년 (2020년 설립),-원
0,스쿨버스,시스템ㆍ응용 소프트웨어 개발 및 공급업,38명,6년 (2018년 설립),"7억1,240만원"
0,카레딧,시스템ㆍ응용 소프트웨어 개발 및 공급업,8명,1년 (2023년 설립),-원
0,알고케어,자연과학 연구개발업,,5년 (2019년 설립),-원
0,시지온,시스템ㆍ응용 소프트웨어 개발 및 공급업,5명,13년 (2011년 설립),16억729만원
0,탈잉,시스템ㆍ응용 소프트웨어 개발 및 공급업,13명,8년 (2016년 설립),75억534만원
0,휴이노에임,기타 기계 및 장비 도매업,14명,2년 (2022년 설립),-원
0,로이드케이,자동차 신품 부품 및 내장품 판매업,31명,12년 (2012년 설립),-원
0,더블유클럽,시스템ㆍ응용 소프트웨어 개발 및 공급업,,3년 (2021년 설립),"10억5,181만원"
0,크래프톤,시스템ㆍ응용 소프트웨어 개발 및 공급업,"1,536명",17년 (2007년 설립),"1조8,283억7,378만원"
0,누비랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,64명,5년 (2019년 설립),19억957만원
0,핏펫,시스템ㆍ응용 소프트웨어 개발 및 공급업,106명,7년 (2017년 설립),"223억4,887만원"
0,가우스랩스,"컴퓨터 시스템 통합 자문, 구축 및 관리업",42명,4년 (2020년 설립),-원
0,스트레스솔루션,시스템ㆍ응용 소프트웨어 개발 및 공급업,,2년 (2022년 설립),-원
0,버즈빌,광고 대행업,112명,11년 (2013년 설립),"596억7,272만원"
0,한국부동산데이터연구소,그 외 기타 정보 서비스업,,2년 (2022년 설립),-원
0,플라네타리움랩스코리아,시스템ㆍ응용 소프트웨어 개발 및 공급업,32명,1년 (2023년 설립),-원
0,한국모바일결제,시스템ㆍ응용 소프트웨어 개발 및 공급업,4명,3년 (2021년 설립),-원
0,옴니어스,포털 및 기타 인터넷 정보 매개 서비스업,25명,9년 (2015년 설립),"18억6,382만원"
0,크래프톤,시스템ㆍ응용 소프트웨어 개발 및 공급업,"1,536명",17년 (2007년 설립),"1조8,283억7,378만원"
0,제로엑스플로우,시스템ㆍ응용 소프트웨어 개발 및 공급업,14명,6년 (2018년 설립),-원
0,왓타임,시계 및 귀금속 소매업,,3년 (2021년 설립),-원
0,테이퍼랩스,포털 및 기타 인터넷 정보 매개 서비스업,5명,3년 (2021년 설립),-원
0,컬리,산업용 농ㆍ축산물 및 동ㆍ식물 도매업,"2,633명",10년 (2014년 설립),"1조5,579억5,521만원"
0,테이퍼랩스,포털 및 기타 인터넷 정보 매개 서비스업,5명,3년 (2021년 설립),-원
0,스마일샤크,"컴퓨터 시스템 통합 자문, 구축 및 관리업",36명,4년 (2020년 설립),"23억5,386만원"
