,기업명,주소,직무,자격요건,직급,이용하는기술스택/우대사항,해당 페이지 URL
1824,크래프톤(Krafton),"서울특별시 강남구 압구정로 152, 극동타워 9층",블록체인 플랫폼 엔지니어," CS전공자또는준하는지식을가지신분, 최소3년이상의백엔드개발경험이있으신분, 한가지이상의언어나기술스택을깊게파본경험이있으신분, 새로운지식을습득하고동료들에게공유하며함께성장하는것에보람을느끼시는분, 다양한직군의사람들과상호원활한커뮤니케이션을통해최선의결과를찾아내실수있는분",3,"- K8s 기반의 백엔드 시스템을 운영한 경험이 있으신 분, - 대규모 트래픽 처리 및 분산 시스템 개발 경험이 있으신 분, - Typescript 기반으로 프로덕션 서버 개발을 해보신 분, - 메타버스 혹은 게임에 대한 관심이 있으신 분, - 블록체인 기술에 관심이 있으신 분",https://www.wanted.co.kr/wd/203772
1825,체인위드,강남구 언주로99길 20,블록체인 플랫폼 엔지니어,"2년이상의TechLead경험이있으신분•Lambda,KMS,APIGateway,S3등AWS를이용한클라우드개발경험이있으신분•기개발된코드를분석하여디버깅이가능하신분•기개발된서비스를유지보수및기능추가가능하신분•사용자경험개선에대한높은관심을갖고계신분•효율적이고지속적인대규모백엔드개발이가능하신분",2,"• AWS 기술 활용이 자유롭고 빌링을 최적화 할 수 있는 분, • 블록체인 생태계에 관심과 애정이 있거나 관련 개발 경험이 있으신 분, • AI그림, AI채팅 등 AI 기반 기술에 관심이 있으신 분, • 서비스 개발에 대해 함께 고민하고 지식을 공유하는 것에 열정적이신 분, • 기술 이슈를 리딩할 수 있고, 주니어 개발자들의 성장을 도울 수 있는 분, • 새로운 방식으로 기능을 구현하고자 하는 노력과 탐구심이 있으신 분",https://www.wanted.co.kr/wd/196986
1826,위메이드(WEMADE),경기도 성남시 분당구 대왕판교로 644번길 49 위메이드타워,블록체인 플랫폼 엔지니어,"블록체인기반개발경력3년~15년이신분•Golang또는Solidity개발가능하신분•블록체인서비스설계/개발이가능하신분(RESTAPI,RPC서버,전자서명등)",3,"• EVM 기반 개발 경험이 있으신 분, • 이더리움 코어에 이해가 높으신 분, • 블록체인 개발 툴(web3.js, ether.js, 리믹스, truffle 등)에 익숙하신 분, • Golang 기반 개발 경험이 많으신 분, • 스마트 컨트랙트 개발 경험이 있으신 분, • RDBMS 또는 NoSQL 개발 경험이 있으신 분",https://www.wanted.co.kr/wd/195389
1827,하이,서울특별시 성동구 성수동1가 72-71 2층,블록체인 플랫폼 엔지니어,"런분과함께하고싶어요•Solidity,Rust중1개언어경력3년이상•EVM,Solana,Tron등메인넷중노드운영가능한분•Assembly언어가능한분",3,"이런 분이면 더 좋아요, • AWS Lambda 서버리스 컴퓨팅 서비스를 사용해 서비스를 운영한 경험이 있으신 분, • 깃,깃허브 등 버전관리 서비스 사용가능한 분, • Truffle, Hardhat, Foundry 등 을 이용하여 테스트 코드 작성 가능한 자, • 디파이 서비스 개발 경험, • 코드 리뷰 등을 통해 개발 문화를 개선해나가고 싶으신 분, • 자유롭게 의견이나 피드백을 주고받는 등 커뮤니케이션이 원활하신 분",https://www.wanted.co.kr/wd/201003
1828,메디플러스솔루션,성북구 성북로 39 2층 메디플러스솔루션,크로스플랫폼 앱 개발자,"필수요건]•최소3년이상의iOS앱개발경험이있으신분•기획/디자인/QA등타파트와의원활한커뮤니케이션이가능하신분•Swift에대한높은이해및능숙하신분•protocol,observerpattern에대한높은이해및능숙하신분•AppStore배포및서비스운영경험이있으신분•관련전공학사이상",3,"** 아래 중 하나라도 해당되시면 우대합니다., • 관련 경력 8년 이상이신 분, • Android/iOS 개발 모두 경험하신 분, • 기획 문서 기반 설계 도출 가능하신 분, • 5인 이상 프로젝트에서 개발 리더 혹은 프로젝트 PM 경험이 있으신 분 , • 하이브리드 앱 개발 경험 및 Javascript 능숙하신 분",https://www.wanted.co.kr/wd/78346
1829,비엘큐(테스트밸리),"서울특별시 강남구 선릉로94길 14 코아렌빌딩 6F, 7F",크로스플랫폼 앱 개발자,"Dart&Flutter개발경험이있으신분•3년이상의모바일개발경험이있는분•Android/iOS스토어에출시,배포경험이있으신분•Provider상태관리솔루션,Freezed,get_it(의존성주입)사용경험이있으신분•P.O,디자이너와의원활한커뮤니케이션능력이있으신분•UI/UX의디테일에대한집착과욕심이있으신분(애니메이션등)•더나은앱개발환경을위한기술스택(아키택쳐,프레임워크,라이브러리)에욕심이있으신분",3,"• TDD 방법론으로 개발을 즐기시는 분, • 코드 개선을 위한 어플리케이션 구조 설계, 코드리뷰 등 품질향상을 위한 활동을 주도한 경험이 있으신분, • 이커머스 서비스개발 경험이 있으신 분, • 앱스토어 최적화(ASO) 경험이 있으신 분, • compose 또는 swiftUI와 같은 선언형 UI 경험이 있으신 분, • 동료들과 커뮤니케이션하며 개발하는 과정이 즐거운 분",https://www.wanted.co.kr/wd/181248
1830,라이드,"서울특별시 송파구 법원로11길 11, 현대지식산업센터 A동 5층 509, 510, 511호 라이드주식회사",크로스플랫폼 앱 개발자,"총개발경력3~7년필수•Reactnative로프로덕션개발경험이있으신분•Typescript개발경험과이해도및ReactNative개발경험1~3년필수•React상태관리에대한이해도가높으신분•Reactnative,redux,saga,react.js경험이있으신분•성능최적화를위해API호출최소화/렌더링최적화/번들링최적화등을경험하신분•개발시꼼꼼한성격을지니신분•개발을좋아하시는분•문제해결에적극적이신분•새로운개발환경적응능력이좋으신분•팀원들과원할한협업이가능하신분•CodePush등을이용한효율적인배포관리경험이있는분•Git을이용한버전관리및협업경험",3,"• ios/Swift 개발 경험 1 ~ 3년, • android/Kotlin 개발 경험 1 ~ 3년, • 백엔드로 프로덕션 개발 경험 있으신 분, • Modern JavaScript(ES6) 기반의 JavaScript 생태계에 익숙하신 분, • npm, yarn과 같은 모듈러와 패키지 관리 도구에 익숙한 분, • React-Query, Recoil를 사용한 상태관리에 능숙한 분, • webpack, Babel과 웹 개발 도구 사용경험이 익숙한 분, • 프론트엔드 테스트 프레임워크 경험이 있고 Jest에 익숙한 분, • 비동기 처리와 REST API에 대한 이해가 있는 분, • React등 SPA 프레임워크 웹 개발 경험이 있는 분, • 프론트엔드 도메인과 관련 CS지식을 가지고 있는 분, • 프론트엔드 아키텍처 설계와 고도화까지 A-Z를 경험이 있는 분, • 모바일 OS 별 다양한 트러블 슈팅 경험이 있으신 분, • 사람과 사람이 매칭되는 서비스나 업에 관심이 많은 분, • 타 부서와 원할한 커뮤니케이션이 가능한 분",https://www.wanted.co.kr/wd/183799
1831,엑스페릭스,서울시 송파구 송파대로 201,크로스플랫폼 앱 개발자,모바일App개발경력(iOS또는Android)•RESTAPI연동및프로토콜설계경험•InteractiveUI및영상/Graphic처리경험•영문으로작성된기술문서를읽고이해하여업무에활용할수있는수준,6,• 상용 서비스 출시 경험자 우대,https://www.wanted.co.kr/wd/195598
1832,빅픽처인터렉티브,금천구 두산로9길 31,크로스플랫폼 앱 개발자," 경력4년이상, 프로젝트를런칭해본경험이있는분",4,"- Electron 기반 데스크톱앱에 대한 이해와 엔지니어링 역량을 보유하신 분, - 본인의 서비스를 직접 개발, 운영해 보신 분, - 하이브리드 앱 개발 및 운영해 보신 분, - PC방에 대한 경험과 이해도가 높으신 분, - 본인의 핵심가치가 ‘성장’이신 분",https://www.wanted.co.kr/wd/195465
1833,리본솔루션,"인천광역시 남동구 은봉로 297, 별동 2, 3층 남동구청년창업지원센터",크로스플랫폼 앱 개발자,모바일개발및유지보수경력1년이상•Flutter개발1년이상(*없을경우우대사항확인),1,"1. 영상 관련 개발 유경험자(외부 출력 기기 연결 여부), 2. 오픈소스 사용 유경험자, 3. 테스트 코드 작성 및 CI/CD 개발 환경 유경험자, 4. 유사언어(Java, Kotiln) 경력 2년이상",https://www.wanted.co.kr/wd/206268
1834,닥커넥트,인천광역시 연수구 송도국제대로 157 오네스타 5층 (주)닥커넥트,크로스플랫폼 앱 개발자," Flutter기반읜앱개발경험, Third, partyAPI연동경험, 주도적인문제해결능력보유, 원활한커뮤니케이션능력",0,"- 개발한 앱을 스토어에 배포까지 하여 사용해본 경험이 있으신분, - Notion 및 Figma 를 사용하여 팀원과 협업한 경험이 있으신분, - WebSocket을 이용한 채팅 개발 경험이 있으신분, - WebRTC를 이용한 영상통화 개발 경험이 있으신분",https://www.wanted.co.kr/wd/206740
1835,스테이지랩스,"서울시 중구 남대문로9길 24, 패스트파이브타워 5층",크로스플랫폼 앱 개발자,"리는이런분과함께하고싶어요•ReactNative(iOS/Android)앱개발경험이있으신분•사용자를위한코드를위해끊임없이고민하시는분•TypeScript등정적타이핑툴경험이있으신분•RESTAPI에대한이해및데이터관리(react, query,SWR등)경험이있으신분•전역상태관리(redux,zustand,recoil,zotai,valtio,react, tracked등)를해본경험이있으신분•Git/GitHub등의버전관리시스템경험이있으신분",3,"아래에 해당되시는 분이면 더더욱 좋아요, , • 최신 React 기술(Conccurrent mode, suspense, context 등)에 관심이 많으신 분, • Swift, Java(Kotlin) 등 앱 네이티브 개발에 대한 경험이 있으신 분, • Flutter 등 하이브리드 앱 개발 경험이 있으신 분, • MVP, MVVM 등의 디자인 패턴 적용에 대한 경험이 있으신 분, • Story book, Framer 등의 디자인 시스템 적용 경험이 있으신 분, • UI/UX 개선과 관련된 고민을 좋아하시는 분, • 새로운 기술 습득과 지식 공유에 즐거움을 느끼시는 분, • 코드 개선 및 코드 리뷰에 적극 참여하시는 분, , , 참고로, 경력기술서는 이렇게 작성해 주시면 좋아요!, , [주요 역량], • 본인이 보유한 핵심 역량과 기술력에 대해 작성해 주세요, • 개발 직군의 경우 사용 가능한 개발 언어 및 수준을 작성해 주세요, • 디자인 직군의 경우 주요 포트폴리오를 별도로 제공해 주세요, , [경력 및 프로젝트], • 기간/회사명/담당업무 등 이전 경력에 대해 상세하게 작성해 주세요., • 단순한 경험 나열 보다는 본인이 참여한 프로젝트 대해 기간, 업무 내용, 본인이 맡은 역할과 성과를 중심으로 작성해 주세요, , [기타], • 직무 관련 자격증 취득 사항, • 어학 사항 및 공인 점수",https://www.wanted.co.kr/wd/198535
1836,팹(PAP),서울특별시 서초구 양재천로19길 14,크로스플랫폼 앱 개발자,"ReactJS또는ReactNative를사용한프론트엔드개발경력5~7년이상•github,jira등협업도구사용에어려움이없으신분",5,"• 이전 경력 중, 서비스 초기 개발부터 참여했었던 경력 개발자, • 여러 상태 관리 케이스를 경험한 개발자, • RN 패키지 제작 경험자, • RN 배포를 처음부터 끝까지 관장했었던 경험자, • 자신만의 RN 성능 개선 비법이 있는 개발자",https://www.wanted.co.kr/wd/136210
1837,인베트(리얼패킹),"마포구 양화로 147, 4층 115호 (동교동, 아일렉스)",크로스플랫폼 앱 개발자,"데스크탑및모바일앱개발기술에대한이해와경험ㆍElectronJS,Flutter등크로스플랫폼프레임워크에대한지식과경험ㆍNodeJS,Python,Kotlin,Swift등개발언어에대한지식과경험ㆍ수평적이며자율적인조직문화에대한이해와자세ㆍ새로운기술을두려워하지않고동료들과토론과공유를즐기는자세ㆍ동료들의건강한비판에무너지지않는멘탈",3,"ㆍ수학/통계학, 컴퓨터/시스템공학, ㆍ컴퓨터활용능력 우수, 석사학위 수여자, 해당직무 인턴경력, 해당직무 근무경험",https://www.wanted.co.kr/wd/197783
1838,헥슬란트,서울특별시 강남구 강남대로 340,크로스플랫폼 앱 개발자," 앱개발및운영을경험해보신분, Flutter로앱개발및상용화경험이있으신분, iOS앱개발및스토어배포숙련된분, Mission, Critical한서비스운영환경을즐기며높은책임감으로탄탄한서비스를같이만들어갈수있는분",1,"· 블록체인 경험이나 가상자산에 관심이 있으신 분, · 스타트업 경험이 있는 분, · Lean startup 을 이해하고, Agile Organization의 경험이 있는 분, · 실패를 두려워하지 않고 빠르게 실행하고 효율을 분석하는 분",https://www.wanted.co.kr/wd/191902
1839,메디플러스솔루션,성북구 성북로 39 2층 메디플러스솔루션,크로스플랫폼 앱 개발자,"필수요건]•최소3년이상의Android앱개발경험이있으신분•기획/디자인/QA등타파트와의원활한커뮤니케이션이가능하신분•PlayStore앱배포및실서비스운영경험이있으신분•Java,Kotlin에대한높은이해및능숙하신분•객체간이벤트처리에대한높은이해및능숙하신분•관련전공학사이상",3,"** 아래 중 하나라도 해당되시면 우대합니다., • 관련 경력 8년 이상이신 분, • Android/iOS 개발 모두 경험하신 분, • 기획 문서 기반 설계 도출 가능하신 분, • 5인 이상 프로젝트에서 개발 리더 혹은 프로젝트 PM 경험이 있으신 분 , • 하이브리드 앱 개발 경험 및 Javascript 능숙하신 분",https://www.wanted.co.kr/wd/155190
1840,리브애니웨어,"서울특별시 강남구 테헤란로108길 19, 부림빌딩 6층",크로스플랫폼 앱 개발자,"네이티브모바일앱(AndroidoriOS)개발경험,Flutter프레임워크및Dart언어사용경험총5년이상,Flutter1년포함)•Github을사용하여소스코드버전관리및원격저장소사용이능숙하신분•RestfulAPI를제공하는백엔드애플리케이션과의다양한연동경험이있으신분•웹애플리케이션과Webview를이용한Integration경험이있으신분•Flutter애플리케이션의상태관리솔루션(Provider,GetX,BLoC)을능숙하게다루실수있는분",5,"• 새로운 것을 배우는 데에 거부감이 없으신 분, • 도메인 주도 설계(DDD)에 대한 관심 또는 경험이 있으신 분, • DevOps에 대한 관심 또는 경험이 있으신 분, • 프론트엔드 애플리케이션 개발 또는 백엔드 개발에 관심 또는 경험이 있으신 분, • 모바일앱의 성능 측정 및 개선에 대한 경험이 있으신 분, • MMP(Mobile Measurement Partner)와의 연동 경험이 있으신 분, , 기술스택/툴, •  모바일앱은 Flutter 프레임워크로 구현하였습니다., •  모바일앱의 상태 관리를 위해서 Provider를 사용하고 있습니다., •  모바일앱의 기본적인 지표 추적 및 관리, 기타 기능을 사용하기 위해서 Google Firebase를 사용하고 있습니다., •  클라이언트 사이드의 에러 트래킹 및 로그 모니터링을 위해서 Datadog을 도입하였습니다.",https://www.wanted.co.kr/wd/97734
1841,라이프페스타,서울특별시 강남구 선릉로 428 10층 120호 라이프페스타,크로스플랫폼 앱 개발자,전산학관련이해혹은관련분야전공자•C++또는C#프로그래밍가능하신분•새로운기술습득에대한호기심과열정을갖추신분•영어로된레퍼런스문서를이해하는데어려움이없는분•주도적으로방향성을수립하고커뮤니케이션할수있는분,1,"• 모바일 앱/게임의 출시 및 라이브 경험이 있으신 분, • Unity 또는 PlayCanvas 개발 경험이 있으신 분, • OpenGL 또는 WebGL에 대한 이해가 있으신 분, • XR(AR,VR) 개발 경험 있으신 분, • 3D 아바타 커스터마이징에 대한 이해도가 있으신 분",https://www.wanted.co.kr/wd/96393
1842,하고엘앤에프,판교로 242,크로스플랫폼 앱 개발자,"필요기술역량:css,scss,javascript,php/Laravel,mySql,redis이상역량보유및개발유경력자",7,"• AOS/iOS 또는 RN 개발 가능하신 분, • 굿스플로우, 사방넷 등의 API 사용 경험이 풍부 하신 분",https://www.wanted.co.kr/wd/185728
1843,라이드,"서울특별시 송파구 법원로11길 11, 현대지식산업센터 A동 5층 509, 510, 511호 라이드주식회사",크로스플랫폼 앱 개발자,"총개발경력3~7년필수•Reactnative로프로덕션개발경험이있으신분•Typescript개발경험과이해도및ReactNative개발경험1~3년필수•React상태관리에대한이해도가높으신분•Reactnative,redux,saga,react.js경험이있으신분•성능최적화를위해API호출최소화/렌더링최적화/번들링최적화등을경험하신분•개발시꼼꼼한성격을지니신분•개발을좋아하시는분•문제해결에적극적이신분•새로운개발환경적응능력이좋으신분•팀원들과원할한협업이가능하신분•CodePush등을이용한효율적인배포관리경험이있는분•Git을이용한버전관리및협업경험",3,"• ios/Swift 개발 경험 1 ~ 3년, • android/Kotlin 개발 경험 1 ~ 3년, • 백엔드로 프로덕션 개발 경험 있으신 분, • Modern JavaScript(ES6) 기반의 JavaScript 생태계에 익숙하신 분, • npm, yarn과 같은 모듈러와 패키지 관리 도구에 익숙한 분, • React-Query, Recoil를 사용한 상태관리에 능숙한 분, • webpack, Babel과 웹 개발 도구 사용경험이 익숙한 분, • 프론트엔드 테스트 프레임워크 경험이 있고 Jest에 익숙한 분, • 비동기 처리와 REST API에 대한 이해가 있는 분, • React등 SPA 프레임워크 웹 개발 경험이 있는 분, • 프론트엔드 도메인과 관련 CS지식을 가지고 있는 분, • 프론트엔드 아키텍처 설계와 고도화까지 A-Z를 경험이 있는 분, • 모바일 OS 별 다양한 트러블 슈팅 경험이 있으신 분, • 사람과 사람이 매칭되는 서비스나 업에 관심이 많은 분, • 타 부서와 원할한 커뮤니케이션이 가능한 분",https://www.wanted.co.kr/wd/183799
1844,엑스페릭스,서울시 송파구 송파대로 201,크로스플랫폼 앱 개발자,모바일App개발경력(iOS또는Android)•RESTAPI연동및프로토콜설계경험•InteractiveUI및영상/Graphic처리경험•영문으로작성된기술문서를읽고이해하여업무에활용할수있는수준,6,• 상용 서비스 출시 경험자 우대,https://www.wanted.co.kr/wd/195598
1845,빅픽처인터렉티브,금천구 두산로9길 31,크로스플랫폼 앱 개발자," 경력4년이상, 프로젝트를런칭해본경험이있는분",4,"- Electron 기반 데스크톱앱에 대한 이해와 엔지니어링 역량을 보유하신 분, - 본인의 서비스를 직접 개발, 운영해 보신 분, - 하이브리드 앱 개발 및 운영해 보신 분, - PC방에 대한 경험과 이해도가 높으신 분, - 본인의 핵심가치가 ‘성장’이신 분",https://www.wanted.co.kr/wd/195465
1846,트랄라랩,경기도 성남시 분당구 판교역로192번길 14-1,크로스플랫폼 앱 개발자,"이런분을찾고있어요.]•블록체인프론트엔드개발경험이있거나이에준하는기술을보유중이신분•블록체인웹/모바일지갑연동개발경험이있으신분•React.JS,React.Native,CSS,PHP언어중하나이상능숙하게사용가능하신분•AWS,Git,Linux시스템활용경험이있는분•지속적인통합,자동화테스트,디버깅등의프로그램개발툴사용경험이있는분•새로운기술과개발방법을습득하고,이를적용하여문제를해결할수있는능력이있는분",3,"[이러한 경험이 있으시면 더욱 좋아요!], , •블록체인 산업과 게임 산업에 대한 경험이 있으신 분, •블록체인 프로젝트를 런칭부터 운영까지 end-to-end 업무 경험이 있으신 분, •오픈소스 컨트리뷰터로 참여해본 경험이 있으신 분, •블록체인 해커톤에 참여하여 수상 경험이 있으신 분, •영어로 의사소통 하는데 큰 어려움이 없으신 분, •전산 관련 전공이신 분",https://www.wanted.co.kr/wd/202871
1847,퓨처커넥트(리브팜),"서초구 서초대로46길 97, 서안빌딩 2층",크로스플랫폼 앱 개발자,flutter를사용하여앱을개발해본경험이있는분(경력무관)•앱과서버간데이터를주고받는restapi방식의개발경험이있는분,0,"- BLOC이나 riverpod을 활용하여 상태관리를 해본 경험이 있는 분, - nodejs(express, nestjs)를 활용하여 간단한 서버프로그래밍이 가능하신분, - mongoDB를 사용해본 경험이 있는 분, - react를 사용해본 경험이 있는분",https://www.wanted.co.kr/wd/176779
1848,스쿨버스,"서울 강서구 마곡중앙8로1길 26, 401호(캐스트윈신사옥)",크로스플랫폼 앱 개발자, 모집인원:2명,0,"ㆍ1개 이상의 Flutter 프로젝트 경험 또는 그에 준한 경험을 보유하신 분, ㆍRESTFul 개발 경험이 있으신 분, ㆍ안드로이드 혹은 아이폰 앱 개발 프로젝트 경험 , ㆍUX/UI 플랫폼 개발 환경에 대한 이해",https://www.wanted.co.kr/wd/201909
1849,비엘큐(테스트밸리),"서울특별시 강남구 선릉로94길 14 코아렌빌딩 6F, 7F",크로스플랫폼 앱 개발자,"App개발신입또는경력자•Flutter앱개발또는Native앱개발(Android,iOS)경험이있으신분•Provider상태관리솔루션,Freezed,get_it(의존성주입)사용경험이있으신분•P.O,디자이너와의원활한커뮤니케이션능력이있으신분•UI/UX의디테일에대한집착과욕심이있으신분(애니메이션등)•더나은앱개발환경을위한기술스택(아키택쳐,프레임워크,라이브러리)에욕심이있으신분•위의조건이안되더라도Flutter기반App개발자로의전환에진심인분",0,"• TDD 방법론으로 개발을 즐기시는 분, • 코드 개선을 위한 어플리케이션 구조 설계, 코드 리뷰 등 품질 향상을 위한 활동을 주도한 경험이 있으신 분, • 이커머스 서비스 개발 경험이 있으신 분, • 앱스토어 최적화(ASO) 경험이 있으신 분, • compose 또는 swiftUI와 같은 선언형 UI 경험이 있으신 분, • 동료들과 커뮤니케이션하며 개발하는 과정이 즐거운 분",https://www.wanted.co.kr/wd/87917
1850,에이피알,송파구 올림픽로 300 36F (잠실 롯데타워),크로스플랫폼 앱 개발자," 프론트엔드(React)+백엔드(Spring)풀스택경력2년이상또는모바일(Android,iOS,Flutter)+백엔드(Spring)경력2년이상의경험이있으신분, 기획,디자인등관련부서와협업하여제품릴리즈경험이있는분, 고객중심적사고를바탕으로서비스를만드는것을제일중요하게생각하는분, 스스로적합한기술스택을선택하고개발환경을구축해본경험이있는분",2,"- OKR 및 애자일 방법론, 코드 리뷰에 기반한 프로젝트 진행하실 수 있는 분, - 단위테스트, 기능테스트, 종단테스트, 빌드 자동화, 지속적 통합에 관심이 많은 분, - 여러 국가에 걸쳐 서비스를 운영/배포한 경험이 있는 분, - 해외 여행에 결격사유가 없으신 분, - 보훈 및 장애 대상자는 관련 법령에 따라 우대",https://www.wanted.co.kr/wd/185267
1851,에이피알,송파구 올림픽로 300 36F (잠실 롯데타워),크로스플랫폼 앱 개발자," 프론트엔드(React)+백엔드(Spring)풀스택경력2년이상또는모바일(Android,iOS,Flutter)+백엔드(Spring)경력2년이상의경험이있으신분, 기획,디자인등관련부서와협업하여제품릴리즈경험이있는분, 고객중심적사고를바탕으로서비스를만드는것을제일중요하게생각하는분, 스스로적합한기술스택을선택하고개발환경을구축해본경험이있는분",2,"- OKR 및 애자일 방법론, 코드 리뷰에 기반한 프로젝트 진행하실 수 있는 분, - 단위테스트, 기능테스트, 종단테스트, 빌드 자동화, 지속적 통합에 관심이 많은 분, - 여러 국가에 걸쳐 서비스를 운영/배포한 경험이 있는 분, - 해외 여행에 결격사유가 없으신 분, - 보훈 및 장애 대상자는 관련 법령에 따라 우대",https://www.wanted.co.kr/wd/185267
1852,제로엑스플로우,"마포구 백범로31길 21, 서울창업허브별관410호",DBA,4년이상의AWS서비스운영경험•PostgreSQL/RDS/AWSLamda관련경험•네트워크/인프라보안에대한기본지식,4,"• AWS 클라우드 자격증 소유자, • Kubernetes 및 Docker를 이용한 서비스 구축 및 운영 경험, • 대규모 서버 구축 및 운영 경험, • 클라우드 기반 시스템 구축 & 운영 자동화 경험",https://www.wanted.co.kr/wd/205373
1853,크래프트테크놀로지스,서울특별시 영등포구 여의대로 108 파크원 타워2(NH금융타워) 27층,DBA,"5년이상의DBA/DA업무경험•DBPerformanceTuning/SQLTuning이가능한분•DB운영을위한자동화스크립트(언어)개발가능한분•DBTroubleshooting이가능한분•데이터웨어하우스또는데이터마트구축,관리,확장경험(PostgreSQL,MS, SQL,SNOWFLAKE)",5,"• 금융 데이터(국내외 주식, 거시경제, 환율, 원자재 등)와 글로벌 데이터 벤더사(LSEG, S&P 등) 구매 데이터에 대한 핸들링 경험을 보유한 분, • Cloud 환경에 대한 이해가 높으신 분, • 데이터 표준 및 DB 설계 경험이 있으신 분, • Data catalog 운영 경험이 있으신 분, • 리서처 등의 연구조직과 협업 경험을 보유한 분, • 업무 수준의 영어 회화 가능자",https://www.wanted.co.kr/wd/195825
1854,더블유클럽,서울시 강남구 역삼동 826-26 14층,DBA,"경력2년이상데이터엔지니어경력자•SQL을사용해RawData를추출하고가공하여데이터분석이가능한분•클라우드환경(AWS)에서의데이터플랫폼설계및구축경험•ETL솔루션사용능력•다양한툴이나분석방법론에대해서새롭게학습하고적용할수있는분사용하는기술/Tool은아래와같습니다.•ETL:HevoData•언어:SQL,Python•DB:AWSRedshift,MongoDB,Mysql•대시보드:Tableau,Datastudio•A/B테스트:Firebase,Hackle",2,"• 데이팅 산업에 대한 경험과 이해보다는 플랫폼, O2O 비즈니스에 대한 관심과 경험이 더 중요합니다., • 스타트업에서 데이터 파이프라인, 인프라 구축 경험이 있는 분, • 스타트업 근무 경력자 및 근무 희망자, • 플랫폼, O2O 비즈니스에 대한 관심과 경험이 있으신 분, • 데이터 플랫폼을 주도적으로 만들어보신 분, • 앱 데이터를 분석하고, 이를 바탕으로 프로덕트를 개선한 경험이 있으신 분",https://www.wanted.co.kr/wd/191445
1855,발란(BALAAN),"서울특별시 강남구 테헤란로 217 (역삼동, 오렌지플래닛) 10F 발란",DBA,DB관련업무경력5년이상자•Mysql(MariaDB)서비스운영및시스템구축경험자•MongoDB서비스운영및시스템구축경험자•DBMS의이중화구성및백업/복구경험•MongoDBReplSet구성및운영경험•QueryTuning및Deadlock해결능력•DBTroubleShooting경험자•RDBDataModeling경험자•클라우드환경에서의DBMS운영경험자,5,"• 대규모 서비스 경험자, • 데이터 연계 솔루션 운영 경험, • Elasticsearch 운영 및 시스템 구축 경, • 개발 프로세스의 이해, 개발 프로젝트 구축 및 지원 경험, • Windows, Linux 등 서버 OS에 대한 기본 이해",https://www.wanted.co.kr/wd/201056
1856,컴투스플랫폼,"서울 금천구 가산동 가산디지털1로 131, C동",DBA,".Hive플랫폼DB서버운영관리, DBA경력3년이상, MySQL,MSSQL등데이터베이스관리및운영경험자, 데이터베이스성능튜닝및Query튜닝을해보신분2.체계적인DB서버운영을위한자동화, Bash,Python등스크립트를이용한자동화가가능하신분3.주요성능지표모니터링,분석,트러블슈팅, DB서버가용성을유지하는것에대한책임감이있으신분, 서비스운영에필요한주요지표를이해하고대응할수있는분4.병역필또는면제자로해외출장에결격사유가없으신분",3,"- 모바일 서비스 환경 및 플랫폼에 대한 이해가 있으신 분, - 리눅스에 대한 기본적인 지식을 가지고 있으신 분, - 대량 트랜잭션 처리 경험 보유자, - 24x365 서비스 운영 경험이 있으신 분, - 주도적으로 문제를 정의하고 해결 방안을 도출할 수 있으신 분",https://www.wanted.co.kr/wd/202502
1857,라텔앤드파트너즈,서울 중구 필동로 16,DBA,"MSSQL사용경험•데이터추출경험•프로시저,쿼리분석이가능하신분",2,"• 데이터베이스 인덱스에 대한 이해, • 데이터베이스 성능 분석 및 튜닝에 대한 경험, • DB 서버 구축 및 운영, • 2년 이상의 DBA 경험",https://www.wanted.co.kr/wd/183437
1858,라텔앤드파트너즈,서울 중구 필동로 16,DBA,MSSQL사용경력•5년이상의DBA경험•데이터베이스인덱스에대한이해•데이터베이스성능분석및튜닝에대한경험,5,• ISMS 경험이 있는 분,https://www.wanted.co.kr/wd/173471
1859,여기어때컴퍼니,서울시 강남구 봉은사로 479,DBA," Mysql,MariaDB,Aurora중1개이상의데이터베이스관리및운영경험자로서5년차이상또는그에준하는역량을보유하신분, Database성능튜닝및Query튜닝을해본경험이있으신분, DatabaseMonitoring계획수립및운영을해본경험이있으신분, OLTP,OLAP에대한이해도가좋으신분",5,"-이기종 데이터베이스 마이그레이션 경험이 있으신 분, -대용량 트래픽 처리를 위한 Database Architecture 설계 및 구성 경험이  있으신 분, -HA, Load Balancing 구성 및 운영 경험이 있으신 분, -On premise -＞ Cloud 이관 경험이 있으신 분, -AWS 서비스 활용 경험(RDS, Aurora, DynamoDB 등) ,   또는 Cloud 서비스의 SQL 활용 경험이 있으신 분, -MySQL 외 데이터베이스 운영 경험(MSSQL, Oracle, Postgre SQL 등)이 있으신 분, -e-Commerce, MSA에 대한 이해가 있으신 분, -ISMS 인증심사 대응 경험이 있으신 분, -Data Backup 계획 수립 및 인프라 구축 경험이 있으신 분, -Mongodb 운영 경험이 있으신 분",https://www.wanted.co.kr/wd/199762
