,기업명,설립연도,매출액,사원수,업종분류,기업규모,주소,기업 홈페이지 URL
199,에드워드코리아,1992년 9월 1일,"1조 236억 5,598만원 (2022)","1,441 명 재직중",기계·조선·자동차·운송장비,중견기업,충남 천안시 서북구 3공단1로 96 (차암동)지도보기,//www.edwardsvacuum.com
200,투블럭에이아이,2019년 6월 19일,"1억 4,189만원 (2022)",10 명 재직중,소프트웨어·솔루션·ASP,중소기업,,
201,엘리스,2005년 8월 13일,"194억 2,842만원 (2020)",30 명 재직중,가구·목재·펄프·종이,중소기업,경상남도 김해시 생림면 마사로 20-45 (생철리)지도보기,//www.elis.co.kr
202,에코마케팅,2003년 3월 24일,"521억 8,559만원 (2022)",287 명 재직중,방송·광고·영상·오디오,중소기업,"서울특별시 강남구 학동로 343 14층 에코마케팅 (논현동, 더피나클강남)지도보기",//www.echomarketing.co.kr
203,로완,2017년 4월 17일,2억 718만원 (2022),-,소프트웨어·솔루션·ASP,중소기업,"서울특별시 중구 통일로 10 1706호 (남대문로5가,연세대학교 세브란스빌딩 플래그원)지도보기",//rowan.kr
204,베이글코드,2012년 12월 17일,932억 160만원 (2022),230 명 재직중,인터넷·포털·컨텐츠·게임,중소기업,"서울특별시 강남구 테헤란로 328 (역삼동,동우빌딩) 16층 베이글코드지도보기",//www.bagelcode.com
205,엘박스,2019년 5월 8일,"8억 8,179만원 (2022)",-,소프트웨어·솔루션·ASP,중소기업,서울특별시 강남구 테헤란로 242 패스트파이브 선릉2호점 12층지도보기,//lbox.kr
206,태그하이브,2017년 4월 25일,"9억 9,817만원 (2022)",10 명 재직중,소프트웨어·솔루션·ASP,중소기업,"서울특별시 송파구 송파대로 201 비동 6층 비-604호 (문정동,송파테라타워2)지도보기",//www.tag-hive.com
207,글로벌리어,2015년 4월 3일,"3억 8,722만원 (2022)",54 명 재직중,소프트웨어·솔루션·ASP,중소기업,"서울특별시 금천구 가산디지털1로 146 403호(가산동, 가산대륭22차)지도보기",//www.dotincorp.com
208,아이트럭,2018년 7월 5일,51억원 (2021),1 명 재직중,물류,중소기업,,
